-18000001,계좌정보가 입력되지 않았습니다.
-18000002,은행계좌정보가 존재하지 않습니다.
-18000003,해당계좌의 수집작업이 진행중입니다.
-18000004,수집일자 정보가 입력되지 않았습니다.
-18000005,검색기간은 현재일로부터 90일 이내로 입력하여 주시기 바랍니다.
-18000006,작업ID가 입력되지 않았습니다.
-18000007,작업ID에 해당하는 수집작업이 존재하지 않습니다.
-18000008,거래내역 아이디가 입력되지 않았습니다.
-18000009,거래내역 아이디에 해당하는 거래내역이 존재하지 않습니다.
-18000010,캐쉬종료일자가 입력되지 않았습니다.
-18000011,최근 작업아이디가 입력되지 않았습니다.
-18000012,은행 기관코드가 입력되지 않았습니다.
-18000013,은행계좌 사용자 식별번호(주민/사업자)가 입력되지 않았습니다.
-18000014,대표계좌로 설정할 수 없는 상태입니다.
-18000015,검색일자 형식이 올바르지 않습니다.
-18000016,은행계좌 정보가 존재하지 않습니다.	
-18000017,검색기간이 올바르지 않습니다.	
-18000018,미래일자는 조회할 수 없습니다.	
-18010001,간편조회 자료수집 과정에서 알수 없는 오류가 발생하였습니다. [jobID]
-18010002,Fail to Set Property. [jobID]
-18010003,간편조회 수집 테스크 초기화 실패
-18010004,수집요청 Timeout 시간이 초과하였습니다.
-18010005,계좌 조회내역 초기화 과정에서 알수 없는 오류가 발생하였습니다.
-18010006,계좌코드가 입력되지 않았습니다.
-18010007,수집 작업이 진행중입니다.	
-18010008,수집 작업이 실패하였습니다.	
-18010009,수집요청 작업이 시간초과로 만료되었습니다.	
-18010010,거래내역 아이디가 입력되지 않았습니다.	
-18010011,거래내역 메모가 입력되지 않았습니다.
-18010012,은행코드가 입력되지 않았습니다.
-18010013,은행 계좌번호가 입력되지 않았습니다.
-18020001,빠른조회 필수 입력 파라미터가 누락되었습니다.
-18020002,전문 혹은 페이지가 변경되었습니다.	
-18020003,전문 혹은 데이터가 변경되었습니다.	
-18020004,사이트 개편으로 현재 처리 중입니다.	
-18020005,해당 기관 서버에서 오류가 발생하였습니다.	
-18020006,이용 가능 시간이 아닙니다.	
-18020007,접속자 폭주로 접속이 지연되고 있습니다. 잠시 후 다시 시도해주시기 바랍니다.	
-18020008,통신 연결시간이 초과하였습니다. 대상기관에서 응답이 없습니다.	
-18020009,해당 기관 오류 메시지가 있습니다 [기관오류메시지]	
-18020010,사업자번호/주민번호가 없거나 잘못되었습니다.	
-18020011,조회일 혹은 기간 체크 오류입니다.	
-18020012,잘못된 파라미터 오류입니다.	
-18020013,생년월일이 잘못되었습니다.	
-18020014,해지된 계좌입니다.	
-18020015,계좌번호를 입력하지 않았습니다.	
-18020016,계좌번호 List에 입력된 계좌번호와 일치하는 정보가 없습니다.	
-18020017,계좌번호 관련 오류입니다.	
-18020018,계좌 비밀번호를 입력하지 않았습니다.	
-18020019,계좌 비밀번호 오류입니다. 추가 시도를 하는 경우 계좌 이용이 불가능할 수 있습니다.
-18020020,계좌 비밀번호 오류 횟수 초과입니다.	
-18020021,계좌 비밀번호 형식 오류입니다.	
-18020022,계좌 비밀번호 자릿수 오류입니다.	
-18020023,계좌 비밀번호 관련 오류입니다.	
-18029997,미등록된 오류 코드입니다.	
-18029998,서버 처리 중 오류가 발생했습니다.
-18029999,Unexpected Exception Code [ResultCode]
